"Latitude","CMT Primary","Segment","Site Name","Longitude","Region","Engagement","Country","City","Training","Site Code"
"23.1166667","No","Chocolate","Guangzhou","113.25","Asia Pacific","Zero","China","Guangzhou","None","GUN"
"48.8166667","No","Chocolate","Haguenau","7.7833333","Western Europe","Zero","France","Haguenau","None","HAG"
"40.8622999","No","Chocolate","Hackettstown (HKP)","-74.8272953","North America","Partial: Training 2","United States","Hackettstown","2014-Submitted","HKP"
"10.29","No","Petcare","Ho Chi Minh City","106.23","Asia Pacific","Zero","Vietnam","Ho Chi Minh City","None","HCM"
"60.190823","Yes","Food","Helsinki","24.973125","Western Europe","Partial: CMT 1","Finland","Helsinki","2014-NotSubmitted","HEL"
"-39.930089","Yes","Petcare","HPT","175.047890","Asia Pacific","Partial: CMT 2","New Zealand","Wanganui","None","HPT"
"40.8622999","No","Chocolate","Hackettstown","-74.8272953","North America","Partial: Training 2","United States","Hackettstown","2014-Submitted","HKT"
"40.309299","No","Petcare","Huairou (Pet)","116.627403","Asia Pacific","Zero","China","Beijing","None","HPT"
"17.3752778","No","Petcare","Hyderabad","78.4744444","META","Zero","India","Hyderabad","None","HYD"
"51.52549","Yes","Other","MIS UK","-0.63184","Western Europe","Partial: CMT 2","United Kingdom","Slough","None","ISB"
"40.3133333","No","Chocolate","Huairou (Snack)","116.6288889","Asia Pacific","Zero","China","Huairou","None","HUA"
"23.1525002","No","Other","Mars IS China","113.2519989","Asia Pacific","Zero","China","Zhujiang Xincheng","None","ISC"
"54.9166667","No","Other","Moscow MIS","38.1","Central Europe/CIS","Zero","RUSSIA","Stupino-1","None","ISS"
"40.03157","No","Other","Exton - Mars IS Data Center","-75.63001","North America","Zero","United States","Exton","None","ISX"
"-6.305","No","Food","Jakarta","106.6511111","Asia Pacific","Zero","Indonesia","Jakarta Selatan","None","JAK"
"41.906177","No","Wrigley","ITC","-87.653566","North America","Zero","United States","Chicago","None","ITC"
"52.22934","Yes","Chocolate","MARS Polska sp. z o.o.","20.23836","Central Europe/CIS","Partial: CMT 2","Poland","Sochaczew","None","JAN"
"54.55186","No","Royal Canin","Kaluga","36.28510","Central Europe/CIS","Zero","Russia","Kaluga","None","KAL"
"21.52","No","Chocolate","APT","39.22","META","Zero","Saudi Arabia","Jeddah","None","JED"
"39.152594","No","Petcare","N. Kansas City","-94.582071","North America","Zero","United States","Kansas City","None","KAN"
"30.710653756093375","No","Chocolate","JXG","120.70560693740845","Asia Pacific","Zero","China","Jiaxing City","None","JXG"
"22.799585","No","Petcare","Kaohsiung","120.294971","Asia Pacific","Zero","Taiwan","TAIPEI CITY","None","KAO"
"21.54333","No","Chocolate","KEC","39.17278","META","Zero","Saudi Arabia","Jeddah","None","KEC"
"50.4333333","Yes","Chocolate","Kiev","30.5166667","Central Europe/CIS","Partial: CMT 2","Ukraine","Kiev","None","KEV"
"39.973079102622144","No","Petcare","Columbus","-83.13495576381683","North America","Zero","United States","Columbus","None","KKC"
"39.47703","No","Petcare","Mattoon","-88.36883","North America","Zero","United States","Mattoon","None","KKM"
"39.5539041","No","Petcare","Reno","-119.551883","North America","Zero","United States","Sparks","None","KKR"
"34.69008","No","Petcare","Kobe","135.19551","Asia Pacific","Zero","Japan","Kobe","None","KOB"
"33.9451036","No","Petcare","Columbia","-80.9376527","North America","Zero","United States","Columbia","None","KKS"
"52.742303","No","Food","King's Lynn","0.410887","Western Europe","Zero","United Kingdom","King's Lynn","None","KLN"
"39.114053","No","Petcare","Kansas City","-94.627464","North America","Zero","United States","Kansas City","None","KPP"
"37.075587","No","Petcare","KSH","-94.644492","North America","Zero","United States","Galena","None","KSH"
"36.103937","No","Chocolate","Las Vegas","-115.172639","North America","Zero","United States","Las Vegas","None","LAS"
"45.0421487","No","Chocolate","Krasnodar","38.9806403","Central Europe/CIS","Zero","Russia","Krasnodar","None","KRA"
"44.56595","No","Royal Canin","la B?tie Neuve","6.19406","Western Europe","Zero","France","la B?tie Neuve","None","LBN"
"-12.05","No","Petcare","Lima","-77.05","Latin America","Zero","Peru","San Isidro / Lima","None","LIM"
"46.0552778","Yes","Food","Ljubljana","14.5144444","Central Europe/CIS","Partial: CMT 2","Slovenia","Ljubljana","None","LJU"
"36.2081","Yes","Petcare","Lebanon, TN","-86.2911","North America","Full","United States","Lebanon","2014-Submitted","LEB"
"51.51176730041815","No","Chocolate","London","-0.12831687927245594","Western Europe","Zero","United Kingdom","London","None","LON"
"36.1856309","No","Petcare","Lebanon","-86.2708368","North America","Zero","United States","Lebanon","None","LTN"
"38.6833333","Yes","Food","Oeiras","-9.3166667","Western Europe","Partial: CMT 2","Portugal","Leiao","None","LIS"
"54.8425","No","Petcare","Luzhniki","38.0958333","Central Europe/CIS","Zero","RUSSIA","Luzhsniki","None","LUZ"
"54.9361111","No","Food","Lukovitsy","39.0166667","Central Europe/CIS","Zero","RUSSIA","Lukovitsy","None","LUK"
"-34.61945","No","Royal Canin","Mar de Plata","-58.64775","Latin America","Zero","Argentina","Mar de Plata","None","MAR"
"14.5569444","No","Petcare","Manila","121.0294444","Asia Pacific","Zero","Philippines","Makati City","None","MAN"
"40.393159","No","Petcare","MBO","-3.850879","Western Europe","Zero","Spain","TBD","None","MBO"
"51.5269188","No","Chocolate","Slough","-0.6307037","Western Europe","Zero","United Kingdom","Slough","None","MCC"
"40.4","Yes","Petcare","Madrid","-3.6833333","Western Europe","Partial: CMT 2","Spain","Las Rozas, Madrid","None","MAD"
"-37.5356617936137","Yes","Chocolate","Ballarat","143.80292415618896","Asia Pacific","Partial: CMT 2","Australia","Wendouree","None","MCA"
"52.6333333","Yes","Petcare","Melton","-1.1333333","Western Europe","Full","United Kingdom","Leicestershire","2014-Submitted","MEL"
"-34.655063","Yes","Petcare","Mercedes","-59.331579","Latin America","Partial: CMT 2","Argentina","Mercedes","None","MER"
"19.4","Yes","Petcare","Mexico City","-99.05","Latin America","Full","Mexico","Mexico City","2014-Submitted","MEX"
"-33.326084","Yes","Food","Wyong","151.417129","Asia Pacific","Partial: CMT 2","Australia","Berkeley Vale","None","MFA"
"20.58879","No","Petcare","Queretaro","-100.38989","Latin America","Zero","Mexico","Queretaro","None","MFQ"
"40.895827","No","Chocolate","Mars Global Chocolate (Mount Olive)","-74.728133","North America","Zero","United States","Mt. Olive","None","MGC"
"41.87811","No","Other","MGI","-87.62980","North America","Zero","United States","Chicago","None","MGI"
"52.0333333","Yes","Petcare","Milton Keynes","-0.7","Western Europe","Partial: CMT 2","United Kingdom","Milton Keynes","None","MIL"
"54.3214798","Yes","Petcare","MIRNY","48.3856504","Central Europe/CIS","Partial: CMT 2","RUSSIA","Ulyanovsk","None","MIR"
"52.2833333","Yes","Petcare","Minden","8.9166667","Western Europe","Partial: CMT 2","Germany","Minden","None","MIN"
"3.1666667","Yes","Petcare","Kuala Lumpur","101.7","Asia Pacific","Partial: CMT 2","Malaysia","Petaling Jaya","None","MKL"
"-37.8166667","No","Chocolate","Melbourne","144.9666667","Asia Pacific","Zero","Australia","Melbourne","None","MLB"
"40.893516","No","Other","Mount Olive - Americas Treasury & Benefit Center","-74.719563","North America","Zero","United States","Mt. Olive","None","MOC"
"50.4944","No","Other","MOG","7.7597","Western Europe","Zero","Germany","Mogendorf","None","MOG"
"50.11933","No","Royal Canin","Modlniczka","19.85463","Central Europe/CIS","Zero","Poland","Modlniczka","None","MOL"
"55.75","No","Chocolate","Moscow","37.62","Central Europe/CIS","Zero","RUSSIA","Moscow","None","MOS"
"-22.4333333","Yes","Petcare","Mogi Mirim","-46.95","Latin America","Partial: CMT 2","Brazil","Mogi Mirim","None","MOM"
"53.9","No","Chocolate","Minsk","27.5666667","Central Europe/CIS","Zero","BELARUS","Minsk","None","MSK"
"44.977489","No","Chocolate","Minneapolis","-93.27414","North America","Zero","United States","Minneapolis","None","MSP"
"55.75583","No","Petcare","Moscow site","37.61730","Central Europe/CIS","Zero","Russia","Moscow","None","MOW"
"40.898097","No","Chocolate","Mars Retail Group Mt. Arlington","-74.638833","North America","Zero","United States","Mt. Arlington","None","MTA"
"55.75583","No","Royal Canin","Moscow","37.61730","Central Europe/CIS","Zero","Russia","Moscow","None","MSW"
"40.898097","No","Chocolate","Dove Chocolate Discoveries Mount Arlington","-74.638833","North America","Zero","United States","Mount Arlington","None","MTA2"
"45.50867","No","Wrigley","Montreal","-73.55399","North America","Zero","Canada","Montreal","None","MTL"
"25.2","Yes","Chocolate","Montemorelos","-99.8166667","Latin America","Partial: CMT 2","Mexico","Montemorelos","None","MTM"
"40.893516","Yes","Other","Mount Olive Data Center","-74.719563","North America","Partial: CMT 2","United States","Mt. Olive","None","MTO"
"40.851488","No","Other","Mount Olive Shared Services","-74.732941","North America","Zero","United States","Mt. Olive","None","MTO (SS)"
"25.686614","Yes","Wrigley","Wrigley Mex?co Business Office","-100.316113","Latin America","Full","Mexico","Monterrey","2014-Submitted","MTY"
"40.8622999","No","Chocolate","North America Sales (Hackettstown)","-74.8272953","North America","Zero","United States","Hackettstown","None","NAS"
"-1.3020308","Yes","Wrigley","Nairobi/Wrigley East Africa","36.8380217","META","Partial: CMT 2","Kenya","Nairobi","None","NAI"
"38.937217","Yes","Other","McLean","-77.181755","North America","Partial: CMT 1","United States","McLean","2014-NotSubmitted","MVA"
"44.077058","No","Chocolate","Newmarket","-79.42615","North America","Zero","Canada","Newmarket","None","NMK"
"55.0411111","Yes","Petcare","Novosibirsk","82.9344444","Central Europe/CIS","Partial: CMT 2","RUSSIA","Novosibirsk","None","NOV"
"42.5254977","No","Petcare","North Sioux City","-96.496056","North America","Zero","United States","North Sioux City","None","NSC"
"40.761431","No","Chocolate","New York","-73.98423","North America","Zero","United States","New York","None","NYC"
"51.8333333","Yes","Food","Oud-Beijerland","4.4166667","Western Europe","Partial: CMT 2","Netherlands","Oud-Beijerland","None","OBL"
"39.537179","No","Petcare","Washington Court House","-83.399878","North America","Zero","United States","Washington Court House","None","OHW"
"35.483693","No","Petcare","Clinton","-98.973051","North America","Zero","United States","Clinton","None","OKC"
"30.0333333","No","Chocolate","October 6 City","31.35","META","Zero","Egypt","October 6 City","None","OCT"
"55.61792","Yes","Chocolate","Odintsovo","36.79597","Central Europe/CIS","Partial: CMT 2","Russia","Odintsovsky District","None","OKF"
"36.867158558793236","No","Petcare","Miami","-94.8545515537262","North America","Zero","United States","Miami","None","OKM"
"51.152917","Yes","Food","Olen","4.871385","Western Europe","Partial: CMT 2","Belgium","Olen","None","OLN"
"28.45143","No","Chocolate","Orlando","-81.400838","North America","Zero","United States","Orlando","None","ORL"
"43.7191549","Yes","Wrigley","Toronto/Wrigley Canada","-79.3502773","North America","Full","Canada","Toronto","2014-Submitted","ONT"
"33.448559","No","Petcare","Orangeburg","-80.845771","North America","Zero","United States","Orangeburg","None","ORA"
"59.9166667","Yes","Food","Oslo","10.75","Western Europe","Partial: CMT 1","Norway","Oslo","2014-NotSubmitted","OSL"
"34.686016","Yes","Petcare","Osaka","135.505714","Asia Pacific","Partial: CMT 2","Japan","Osaka","None","OSA"
"8.983333","No","Chocolate","Panama City","-79.516667","Latin America","Zero","Panama","Panama City","None","PAN"
"52.5833333","No","Petcare","Peterborough","-0.25","Western Europe","Zero","United Kingdom","Peterborough","None","PBO"
"36.78060","No","Food","Fresno","-119.79287","North America","Zero","United States","Fresno","None","PCB"
"14.76194444","Yes","Petcare","Pak Chong","101.45","Asia Pacific","Partial: CMT 2","Thailand","Pak Chong","None","PCH"
"50.062446","Yes","Petcare","Mars Market - Michelska 1552/58, Praha 4","14.440455","Central Europe/CIS","Partial: CMT 2","Czech Republic","Praha 4","None","PCZ"
"-25.09942","No","Petcare","Ponta Grossa","-50.15832","Latin America","Zero","Brazil","Ponta Grossa","None","PGA"
"33.44838","No","Petcare","Phoenix","-112.07404","North America","Zero","United States","Phoenix","None","PHX"
"50.4133053","Yes","Wrigley","Plymouth/Wrigley UK","-4.0987224","Western Europe","Partial: CMT 2","United Kingdom","Plymouth","None","PLY"
"22.7003407","No","Wrigley","PNY","113.5467849","Asia Pacific","Zero","China","Panyu City","None","PNY"
"45.53825","No","Petcare","Portland (POR)","-122.65649","North America","Zero","United States","Portland","None","POR"
"49.838957","Yes","Wrigley","Porici","14.674464","Central Europe/CIS","Partial: CMT 2","Czech Republic","Porici nad Sazavou","None","PNS"
"52.3701344","Yes","Wrigley","POZ","16.9569844","Central Europe/CIS","Partial: CMT 2","Poland","Ponzan","None","POZ"
"45.52345","No","Other","Portland","-122.67621","North America","Zero","United States","Portland","None","POV"
"20.591652120829156","Yes","Chocolate","Queretaro Chocolate","-100.38757324218751","Latin America","Partial: CMT 2","Mexico","Queretaro","None","QRC"
"20.6","Yes","Petcare","Queretaro","-100.3833333","Latin America","Partial: CMT 2","Mexico","Queretaro","None","QRO"
"33.882815","Yes","Food","Rancho Dominquez","-118.235035","North America","Full","United States","Rancho Dominguez","2014-Submitted","RAN"
"40.0689976","Yes","Royal Canin","Madrid","-3.7480957","Western Europe","Full","Spain","Madrid","2014-Submitted","RAD"
"43.3557283","No","Royal Canin","Artem","132.186676","Central Europe/CIS","Zero","Russia","Artem","None","RAR"
"-33.8271347","No","Royal Canin","Capetown","18.5329594","META","Zero","South Africa","Capetown","None","RAP"
"-36.84846","No","Royal Canin","Auckland","174.76333","Asia Pacific","Zero","New Zealand","Auckland","None","RAU"
"41.284549","No","Royal Canin","Barcelona","1.990254","Western Europe","Zero","Spain","Barcelona","None","RBA"
"44.435278","No","Royal Canin","Buccharest","26.102778","Central Europe/CIS","Partial: Training 2","Romania","Buccharest","2014-Submitted","RBC"
"44.8811846","No","Royal Canin","Beychac","-0.3580789","Western Europe","Zero","France","Beychac","None","RBE"
"47.45365","No","Royal Canin","Budapest","18.97465","Central Europe/CIS","Zero","Hungary","Budapest","None","RBD"
"44.82056","No","Royal Canin","Belgrade","20.46222","Central Europe/CIS","Zero","Serbia","Belgrade","None","RBG"
"16.26012","No","Royal Canin","Baie Mahaut","-61.59030","Latin America","Zero","Guadaloupe","Baie Mahault","None","RBM"
"50.7955117","No","Royal Canin","Brussels","4.4062792","Western Europe","Zero","Belgium","Brussels","None","RBR"
"12.97160","No","Royal Canin","Bangalore","77.59456","META","Zero","India","Bangalore","None","RBN"
"19.07598","No","Royal Canin","Mumbai","72.87766","META","Zero","India","Mumbai","None","RBH"
"13.7255001","Yes","Royal Canin","Bangkok","100.5260729","Asia Pacific","Partial: CMT 2","Thailand","Bangkok","None","RBT"
"50.096350","No","Royal Canin","Cambrai","3.239292","Western Europe","Zero","France","Les Rues des Vignes","None","RCC"
"48.0436532","No","Royal Canin","Buchloe","10.7125364","Western Europe","Zero","Germany","Buchloe","None","RBU"
"-21.915905","No","Royal Canin","Descalvado","-47.620268","Latin America","Zero","Brazil","Descalvado","None","RCD"
"-34.61","No","Royal Canin","Buenos Aires","-58.37","Latin America","Zero","Argentina","Buenos Aires","None","RCB"
"43.685081","Yes","Royal Canin","Aimargues","4.208849","Western Europe","Full","France","Aimargues","2014-Submitted","RCA"
"55.17453","No","Royal Canin","Chelyabinsk","61.42668","Central Europe/CIS","Zero","Russia","Chelyabinsk","None","RCE"
"47.440866","No","Royal Canin","Hunzenschwil","8.469661","Western Europe","Zero","Switzerland","Regendorf","None","RCH"
"60.252281","No","Royal Canin","Helsinki","25.01689","Western Europe","Zero","Finland","Helsinki","None","RCF"
"-34.849583","No","Royal Canin","La Matanza","-58.657086","Latin America","Zero","ITALY","Milan","None","RCM"
"38.722252","No","Royal Canin","Lisbon","-9.139337","Western Europe","Partial: Training 2","Portugal","TBD","2014-Submitted","RCO"
"51.088689","No","Royal Canin","Somerset","-2.513101","Western Europe","Zero","United Kingdom","Castle Cary","None","RCS"
"51.615789","No","Royal Canin","Veghel (RCN)","5.539240","Western Europe","Zero","Netherlands","Veghel","None","RCN"
"37.948544","No","Royal Canin","Rolla","-91.771530","North America","Zero","United States","Rolla","None","RCR"
"-31.3361666","No","Royal Canin","Cordoba","-64.1917232","Latin America","Zero","Argentina","Cordoba","None","RCT"
"45.6100114","No","Royal Canin","Chamb?ry","5.1671558","Western Europe","Zero","France","Chamb?ry","None","RCY"
"28.63531","No","Royal Canin","RDE","77.22496","META","Zero","India","Delhi","None","RDE"
